Noise Multiplier,Delta,Classification error,Privacy budget,Fairness before (Risk difference),Fairness after (Risk difference)
4.03,1e-05,0.2009704563601744,N/A,0.19097982982080125,0.03237486508880444
4.03,1e-05,0.22105521773846815,N/A,0.19097982982080125,0.030192182845309
4.03,1e-05,0.20705116393341927,N/A,0.19097982982080125,0.025261388848971833
4.03,1e-05,0.2179841533075364,N/A,0.19097982982080125,0.03315100575723018
4.03,1e-05,0.24814200601928627,N/A,0.19097982982080125,0.03480331756694088
4.03,1e-05,0.20735827037651255,N/A,0.19097982982080125,0.026917318673747803
4.03,1e-05,0.23456790123456794,N/A,0.19097982982080125,0.030041703993371416
4.03,1e-05,0.22400343959216262,N/A,0.19097982982080125,0.025296295050657336
4.03,1e-05,0.21485166758798602,N/A,0.19097982982080125,0.028271322593433956
4.03,1e-05,0.22209937964498494,N/A,0.19097982982080125,0.02622413756202857
4.03,1e-05,0.22474049505558624,N/A,0.19097982982080125,0.02741201853646702
4.03,1e-05,0.2169399914010196,N/A,0.19097982982080125,0.025499719221647732
4.03,1e-05,0.20784964068546163,N/A,0.19097982982080125,0.03363892821144698
4.03,1e-05,0.20846385357164798,N/A,0.19097982982080125,0.03170797828375632
4.03,1e-05,0.21908973650267183,N/A,0.19097982982080125,0.03268112242038074
4.03,1e-05,0.2100608070757325,N/A,0.19097982982080125,0.02524701870462831
4.03,1e-05,0.199189238990234,N/A,0.19097982982080125,0.02685825839965511
4.03,1e-05,0.20422578465696206,N/A,0.19097982982080125,0.02683318708399196
4.03,1e-05,0.21859836619372275,N/A,0.19097982982080125,0.02531341692476874
4.03,1e-05,0.20379583563663162,N/A,0.19097982982080125,0.03125949728954619
4.03,1e-05,0.20649837233585155,N/A,0.19097982982080125,0.030882612227260298
4.03,1e-05,0.22861003623856024,N/A,0.19097982982080125,0.028412679970770516
4.03,1e-05,0.21736994042135005,N/A,0.19097982982080125,0.025042983038133848
4.03,1e-05,0.21964252810023954,N/A,0.19097982982080125,0.027431280644842404
4.03,1e-05,0.20619126589275838,N/A,0.19097982982080125,0.030517039831797987
4.03,1e-05,0.20791106197408027,N/A,0.19097982982080125,0.02719356176767046
4.03,1e-05,0.21350039923837605,N/A,0.19097982982080125,0.03168474145460509
4.03,1e-05,0.21350039923837605,N/A,0.19097982982080125,0.03573936430965724
4.03,1e-05,0.2181684171733923,N/A,0.19097982982080125,0.035914965435216606
4.03,1e-05,0.21073644125053748,N/A,0.19097982982080125,0.030409365665138965
